"Educ";"Sanidad";"Pensiones";"Justicia";"Seguridad";"ServSoc";"Transp";"Obras";"Depend";"F_Sanidad";"F_CMayores";"F_Pensiones";"F_Parados";"F_Vivienda";"F_Educ";"EdadIntervalos";"P6"
"202";"2";"4";"1";"3";"4";"3";"1";"4";"2";"3";"3";"2";"1";"1";"2";"(35,50]";"3"
"203";"1";"1";"1";"2";"1";"2";"1";"1";"2";"3";"1";"1";"1";"2";"1";"(50,65]";"3"
"205";"2";"2";"2";"2";"2";"2";"2";"2";"3";"1";"1";"2";"2";"2";"2";"(65,96]";"2"
"206";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"3";"3";"2";"2";"2";"(50,65]";"2"
"207";"3";"3";"3";"4";"3";"3";"2";"4";"3";"2";"3";"3";"2";"3";"1";"(35,50]";"3"
"208";"4";"2";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"2"
"209";"2";"2";"2";"3";"3";"3";"3";"3";"3";"2";"2";"2";"2";"1";"1";"(50,65]";"3"
"210";"3";"1";"2";"2";"3";"3";"2";"3";"2";"3";"3";"3";"3";"3";"3";"(65,96]";"3"
"211";"1";"1";"2";"1";"1";"2";"2";"2";"2";"1";"1";"1";"1";"3";"1";"[18,35]";"2"
"212";"3";"1";"4";"3";"1";"1";"2";"3";"2";"3";"2";"3";"2";"3";"3";"(65,96]";"3"
"213";"1";"2";"4";"1";"3";"3";"2";"1";"1";"1";"1";"1";"1";"2";"1";"[18,35]";"2"
"214";"3";"2";"3";"3";"3";"2";"2";"3";"3";"2";"3";"2";"2";"3";"3";"(50,65]";"2"
"215";"3";"2";"2";"3";"2";"3";"2";"2";"3";"3";"3";"3";"2";"3";"1";"(35,50]";"2"
"216";"4";"4";"4";"4";"4";"4";"3";"4";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"217";"2";"2";"1";"3";"1";"2";"2";"1";"3";"3";"2";"3";"3";"2";"2";"(35,50]";"2"
"218";"3";"3";"3";"3";"2";"3";"2";"2";"3";"3";"3";"3";"2";"2";"3";"(35,50]";"2"
"219";"2";"3";"2";"4";"3";"2";"3";"3";"3";"3";"2";"3";"3";"3";"3";"(35,50]";"3"
"221";"2";"3";"2";"3";"3";"2";"2";"2";"2";"3";"3";"3";"2";"3";"2";"(50,65]";"3"
"222";"3";"3";"2";"2";"1";"2";"2";"3";"2";"2";"2";"3";"3";"3";"3";"(35,50]";"2"
"223";"3";"2";"1";"4";"3";"4";"2";"2";"2";"2";"3";"2";"2";"3";"3";"(65,96]";"1"
"224";"2";"2";"3";"3";"2";"3";"3";"3";"3";"2";"1";"3";"2";"3";"1";"[18,35]";"3"
"225";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"3";"3";"3";"(50,65]";"2"
"226";"3";"3";"2";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(65,96]";"3"
"227";"2";"1";"2";"4";"4";"1";"2";"2";"1";"3";"1";"3";"3";"3";"3";"(50,65]";"3"
"228";"2";"2";"3";"3";"3";"2";"2";"3";"2";"3";"1";"3";"3";"3";"3";"(50,65]";"3"
"229";"3";"4";"3";"3";"3";"3";"3";"3";"4";"3";"3";"2";"1";"3";"3";"(50,65]";"3"
"230";"2";"2";"2";"2";"2";"2";"2";"2";"3";"2";"1";"2";"2";"2";"1";"[18,35]";"2"
"231";"2";"2";"2";"3";"2";"2";"3";"3";"2";"1";"2";"3";"2";"3";"1";"(50,65]";"2"
"232";"2";"3";"4";"3";"4";"2";"3";"4";"3";"2";"2";"2";"2";"2";"1";"(65,96]";"3"
"233";"2";"2";"2";"3";"1";"2";"2";"2";"4";"2";"2";"3";"3";"3";"1";"(35,50]";"2"
"234";"2";"3";"2";"4";"2";"3";"2";"3";"3";"2";"2";"3";"3";"3";"3";"[18,35]";"3"
"237";"1";"1";"3";"3";"2";"3";"3";"1";"3";"2";"2";"2";"2";"2";"2";"(35,50]";"3"
"239";"2";"2";"2";"2";"3";"2";"3";"3";"2";"2";"2";"2";"2";"2";"2";"[18,35]";"2"
"240";"3";"2";"2";"4";"3";"2";"3";"3";"3";"1";"1";"1";"1";"3";"1";"(50,65]";"3"
"242";"2";"2";"2";"2";"2";"3";"3";"3";"3";"2";"2";"2";"2";"3";"2";"(50,65]";"1"
"243";"2";"3";"2";"2";"2";"2";"2";"2";"3";"3";"2";"2";"3";"2";"1";"(35,50]";"2"
"244";"1";"1";"2";"2";"2";"2";"2";"2";"3";"1";"1";"1";"1";"3";"1";"(50,65]";"1"
"245";"3";"3";"3";"4";"2";"3";"4";"3";"3";"3";"1";"3";"3";"3";"3";"(35,50]";"3"
"246";"2";"2";"2";"3";"2";"3";"3";"2";"3";"2";"3";"3";"2";"3";"1";"(50,65]";"2"
"247";"4";"4";"4";"4";"3";"4";"2";"3";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"248";"2";"2";"3";"3";"2";"3";"1";"4";"3";"3";"3";"3";"3";"3";"2";"(50,65]";"3"
"249";"2";"2";"2";"3";"2";"2";"3";"2";"3";"2";"2";"3";"2";"1";"2";"[18,35]";"3"
"250";"2";"2";"3";"3";"2";"3";"2";"3";"3";"3";"3";"3";"2";"3";"3";"(50,65]";"2"
"252";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"1";"3";"3";"3";"3";"[18,35]";"3"
"253";"4";"4";"2";"3";"3";"4";"3";"3";"4";"1";"1";"1";"1";"1";"1";"(50,65]";"3"
"254";"2";"2";"2";"3";"2";"3";"3";"2";"4";"3";"3";"3";"2";"3";"3";"(50,65]";"3"
"255";"2";"3";"2";"4";"3";"3";"3";"3";"3";"3";"1";"3";"2";"3";"2";"(50,65]";"1"
"256";"2";"3";"1";"2";"1";"2";"2";"3";"3";"3";"2";"3";"3";"3";"2";"(50,65]";"2"
"257";"2";"2";"2";"2";"1";"2";"1";"2";"2";"3";"2";"3";"3";"2";"2";"(65,96]";"3"
"258";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"[18,35]";"3"
"262";"1";"3";"3";"3";"1";"1";"1";"3";"3";"1";"1";"2";"2";"3";"2";"(35,50]";"2"
"263";"2";"2";"2";"3";"2";"3";"2";"3";"3";"3";"1";"3";"1";"3";"3";"(35,50]";"2"
"265";"2";"2";"2";"2";"2";"2";"2";"2";"3";"2";"3";"2";"3";"3";"2";"(65,96]";"3"
"266";"3";"2";"3";"4";"3";"2";"2";"3";"3";"2";"2";"3";"2";"3";"3";"(65,96]";"3"
"268";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"(65,96]";"3"
"269";"2";"2";"1";"3";"2";"3";"3";"2";"3";"3";"2";"2";"3";"2";"3";"(50,65]";"1"
"270";"2";"3";"3";"3";"2";"3";"3";"3";"3";"2";"3";"3";"3";"2";"3";"(65,96]";"3"
"271";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2";"2";"3";"3";"3";"2";"(35,50]";"3"
"272";"1";"2";"2";"2";"1";"2";"1";"1";"3";"3";"3";"3";"3";"2";"2";"(35,50]";"3"
"274";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"275";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"3";"2";"3";"2";"(35,50]";"2"
"276";"2";"2";"1";"3";"2";"3";"1";"2";"3";"1";"2";"1";"1";"2";"1";"(65,96]";"1"
"277";"3";"3";"2";"4";"2";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"2"
"278";"2";"2";"3";"4";"2";"2";"1";"3";"4";"1";"2";"1";"1";"2";"1";"(50,65]";"3"
"280";"2";"2";"2";"3";"2";"2";"2";"2";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"2"
"282";"1";"1";"2";"3";"1";"3";"1";"1";"3";"1";"1";"3";"2";"3";"2";"(50,65]";"2"
"284";"2";"2";"2";"2";"1";"2";"2";"2";"3";"1";"1";"1";"1";"1";"1";"[18,35]";"2"
"285";"3";"1";"3";"3";"3";"3";"2";"3";"4";"3";"3";"3";"1";"3";"3";"(50,65]";"3"
"287";"3";"2";"3";"3";"3";"3";"2";"3";"3";"1";"1";"2";"2";"3";"1";"[18,35]";"3"
"290";"3";"3";"2";"4";"3";"3";"2";"4";"3";"3";"1";"3";"3";"3";"2";"(50,65]";"1"
"291";"1";"3";"2";"3";"2";"2";"1";"2";"2";"2";"1";"3";"2";"2";"2";"(50,65]";"3"
